id;full_name;date_birth;sex;nationality;place_origin;place_residence;date_issue;date_expiry;personal_identification
1;boastfully fence creative;2024-11-16;rejigger;regarding calmly;courteous;whereas optimal though;2024-11-17;2024-11-17;apropos controvert boiling
2;spook;2024-11-17;finally elevator fortunately;scuffle knottily edge;potentially cheerfully;yet;2024-11-17;2024-11-16;finally separately porter
3;provided innocent;2024-11-17;last;denitrify;um;vainly miserly;2024-11-17;2024-11-17;around minus inasmuch
4;which yippee atop;2024-11-17;boohoo cod eek;SUV once;deny blah unnecessarily;amid;2024-11-17;2024-11-16;opposite
5;humble absentmindedly;2024-11-16;bah;emergent;delicious wherever;who confirm unnecessarily;2024-11-16;2024-11-17;agreement accept
6;yowza mmm honorable;2024-11-16;manner majestic rebound;vainly;humiliating besides throughout;finally yowza;2024-11-17;2024-11-16;flight wholly ceramic
7;phrase loosely;2024-11-16;pace testify vanadyl;whether presume closely;whereas knowledgeably underneath;bah uh-huh;2024-11-16;2024-11-16;whenever carefully sport
8;brief;2024-11-16;formation drat;scale step;worth hmph;pfft;2024-11-17;2024-11-16;extract the duh
9;follower heighten;2024-11-16;microchip before;madly;till apprehensive;maestro tuxedo;2024-11-17;2024-11-17;out bobble
10;quietly;2024-11-16;bah;unless;huzzah closed although;coolly;2024-11-16;2024-11-17;gah sadly
